"region","livestockType","managementType","managementSubtype","typicalMass","massNExcretedPer1000kgLivestockPerTime","massN2OPerMassNDirect","fractionVolatilised","massN2OPerMassNVolatilised","units","source"
"Africa","breeding swine","aerobic treatment","forced aeration",28,0.55,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Africa","breeding swine","aerobic treatment","natural aeration",28,0.55,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Africa","breeding swine","anaerobic digester","-",28,0.55,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Africa","breeding swine","composting","passive windrow",28,0.55,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Africa","breeding swine","composting","in vessel",28,0.55,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Africa","breeding swine","composting","static pile",28,0.55,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Africa","breeding swine","composting","intensive windrow",28,0.55,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Africa","breeding swine","daily spread","-",28,0.55,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Africa","breeding swine","deep bedding","active mixing",28,0.55,0.070,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Africa","breeding swine","deep bedding","no mixing",28,0.55,0.010,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Africa","breeding swine","dry lot","-",28,0.55,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Africa","breeding swine","liquid/slurry","without natural crust cover",28,0.55,0.000,0.480,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Africa","breeding swine","liquid/slurry","with natural crust cover",28,0.55,0.005,0.480,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Africa","breeding swine","pasture/range/paddock","-",28,0.55,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Africa","breeding swine","pit storage below animal confinements","-",28,0.55,0.002,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"Africa","breeding swine","solid storage","-",28,0.55,0.005,0.450,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
