"livestockType","managementType","managementSubtype","massNExcretedPerHeadPerTime","massN2OPerMassNDirect","fractionVolatilised","massN2OPerMassNVolatilised","units","source"
"fox","composting","intensive windrow",12.09,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"fox","composting","passive windrow",12.09,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"fox","daily spread","-",12.09,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"fox","composting","static pile",12.09,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"fox","aerobic treatment","natural aeration",12.09,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"fox","dry lot","-",12.09,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"fox","deep bedding","no mixing",12.09,0.010,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"fox","pasture/range/paddock","-",12.09,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"fox","solid storage","-",12.09,0.005,0.120,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"fox","uncovered anaerobic lagoon","-",12.09,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"fox","liquid/slurry","with natural crust cover",12.09,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"fox","liquid/slurry","without natural crust cover",12.09,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"fox","anaerobic digester","-",12.09,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"fox","pit storage below animal confinements","-",12.09,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"fox","aerobic treatment","forced aeration",12.09,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"fox","composting","in vessel",12.09,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"fox","deep bedding","active mixing",12.09,0.070,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"mink/polecat","aerobic treatment","forced aeration",4.59,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"mink/polecat","daily spread","-",4.59,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"mink/polecat","composting","in vessel",4.59,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"mink/polecat","anaerobic digester","-",4.59,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"mink/polecat","composting","static pile",4.59,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"mink/polecat","uncovered anaerobic lagoon","-",4.59,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"mink/polecat","pit storage below animal confinements","-",4.59,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"mink/polecat","deep bedding","active mixing",4.59,0.070,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"mink/polecat","liquid/slurry","with natural crust cover",4.59,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"mink/polecat","solid storage","-",4.59,0.005,0.120,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"mink/polecat","liquid/slurry","without natural crust cover",4.59,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"mink/polecat","dry lot","-",4.59,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"mink/polecat","deep bedding","no mixing",4.59,0.010,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"mink/polecat","aerobic treatment","natural aeration",4.59,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"mink/polecat","composting","intensive windrow",4.59,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"mink/polecat","pasture/range/paddock","-",4.59,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"mink/polecat","composting","passive windrow",4.59,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"rabbit","uncovered anaerobic lagoon","-",8.1,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
