"system","drainage","flooding","organicAmendment","massCH4PerAreaPerDay","cultivationWaterScalingFactor","preCultivationWaterScalingFactor","organicFactor","units","source"
"irrigated","aggregated","aggregated","none",1.3,0.78,1.22,1,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"irrigated","aggregated","aggregated","green manure",1.3,0.78,1.22,0.5,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"irrigated","aggregated","aggregated","farm yard manure",1.3,0.78,1.22,0.14,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"irrigated","aggregated","aggregated","compost",1.3,0.78,1.22,0.05,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"irrigated","aggregated","aggregated","straw (under 30 days)",1.3,0.78,1.22,1,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"irrigated","aggregated","aggregated","straw (over 30 days)",1.3,0.78,1.22,0.29,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"irrigated","aggregated","over 180 days","straw (over 30 days)",1.3,0.78,0.68,0.29,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"irrigated","aggregated","over 180 days","straw (under 30 days)",1.3,0.78,0.68,1,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"irrigated","aggregated","over 180 days","green manure",1.3,0.78,0.68,0.5,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"irrigated","aggregated","over 180 days","farm yard manure",1.3,0.78,0.68,0.14,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"irrigated","aggregated","over 180 days","none",1.3,0.78,0.68,1,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"irrigated","aggregated","over 180 days","compost",1.3,0.78,0.68,0.05,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"irrigated","aggregated","under 180 days","compost",1.3,0.78,1,0.05,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"irrigated","aggregated","under 180 days","straw (under 30 days)",1.3,0.78,1,1,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"irrigated","aggregated","under 180 days","green manure",1.3,0.78,1,0.5,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"irrigated","aggregated","under 180 days","none",1.3,0.78,1,1,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"irrigated","aggregated","under 180 days","straw (over 30 days)",1.3,0.78,1,0.29,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"irrigated","aggregated","under 180 days","farm yard manure",1.3,0.78,1,0.14,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"irrigated","aggregated","under 30 days","green manure",1.3,0.78,1.9,0.5,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"irrigated","aggregated","under 30 days","farm yard manure",1.3,0.78,1.9,0.14,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"irrigated","aggregated","under 30 days","straw (over 30 days)",1.3,0.78,1.9,0.29,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"irrigated","aggregated","under 30 days","none",1.3,0.78,1.9,1,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"irrigated","aggregated","under 30 days","compost",1.3,0.78,1.9,0.05,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"irrigated","aggregated","under 30 days","straw (under 30 days)",1.3,0.78,1.9,1,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"irrigated","continuous","aggregated","none",1.3,1,1.22,1,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"irrigated","continuous","aggregated","green manure",1.3,1,1.22,0.5,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"irrigated","continuous","aggregated","straw (over 30 days)",1.3,1,1.22,0.29,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"irrigated","continuous","aggregated","farm yard manure",1.3,1,1.22,0.14,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"irrigated","continuous","aggregated","straw (under 30 days)",1.3,1,1.22,1,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"irrigated","continuous","aggregated","compost",1.3,1,1.22,0.05,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"irrigated","continuous","over 180 days","straw (under 30 days)",1.3,1,0.68,1,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"irrigated","continuous","over 180 days","straw (over 30 days)",1.3,1,0.68,0.29,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"irrigated","continuous","over 180 days","green manure",1.3,1,0.68,0.5,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"irrigated","continuous","over 180 days","compost",1.3,1,0.68,0.05,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"irrigated","continuous","over 180 days","none",1.3,1,0.68,1,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
"irrigated","continuous","over 180 days","farm yard manure",1.3,1,0.68,0.14,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf"
