provinceName,gridName,units,source
beijing,north,none,http://www.ghgprotocol.org/calculation-tools/all-tools
tianjin,north,none,http://www.ghgprotocol.org/calculation-tools/all-tools
hebei,north,none,http://www.ghgprotocol.org/calculation-tools/all-tools
shanxi,north,none,http://www.ghgprotocol.org/calculation-tools/all-tools
shandong,north,none,http://www.ghgprotocol.org/calculation-tools/all-tools
inner mongolia,north,none,http://www.ghgprotocol.org/calculation-tools/all-tools
liaoning,northeast,none,http://www.ghgprotocol.org/calculation-tools/all-tools
jilin,northeast,none,http://www.ghgprotocol.org/calculation-tools/all-tools
heilongjiang,northeast,none,http://www.ghgprotocol.org/calculation-tools/all-tools
shanghai,east,none,http://www.ghgprotocol.org/calculation-tools/all-tools
jiangsu,east,none,http://www.ghgprotocol.org/calculation-tools/all-tools
zhejiang,east,none,http://www.ghgprotocol.org/calculation-tools/all-tools
anhui,east,none,http://www.ghgprotocol.org/calculation-tools/all-tools
fujian,east,none,http://www.ghgprotocol.org/calculation-tools/all-tools
henan,central,none,http://www.ghgprotocol.org/calculation-tools/all-tools
hubei,central,none,http://www.ghgprotocol.org/calculation-tools/all-tools
hunan,central,none,http://www.ghgprotocol.org/calculation-tools/all-tools
jiangxi,central,none,http://www.ghgprotocol.org/calculation-tools/all-tools
sichuan,central,none,http://www.ghgprotocol.org/calculation-tools/all-tools
chongqing,central,none,http://www.ghgprotocol.org/calculation-tools/all-tools
shaanxi,northwest,none,http://www.ghgprotocol.org/calculation-tools/all-tools
gansu,northwest,none,http://www.ghgprotocol.org/calculation-tools/all-tools
qinghai,northwest,none,http://www.ghgprotocol.org/calculation-tools/all-tools
ningxia,northwest,none,http://www.ghgprotocol.org/calculation-tools/all-tools
xinjiang,northwest,none,http://www.ghgprotocol.org/calculation-tools/all-tools
guangdong,southern,none,http://www.ghgprotocol.org/calculation-tools/all-tools
guangxi,southern,none,http://www.ghgprotocol.org/calculation-tools/all-tools
yunnan,southern,none,http://www.ghgprotocol.org/calculation-tools/all-tools
guizhou,southern,none,http://www.ghgprotocol.org/calculation-tools/all-tools
hainan,hainan,none,http://www.ghgprotocol.org/calculation-tools/all-tools
