"country","massCO2PerEnergy","units","source"
"Albania",1.89756,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Argentina",1.2351921,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Australia",1.060606,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Austria",0.940765,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Belarus",0.4868924,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Belgium",1.236758,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Bosnia and Herzegovina ",1.4497853,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Botswana",1.8562336,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Brazil",1.6653746,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Bulgaria",0.9463206,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Canada",0.864487,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Chile",1.1583787,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"China (including Hong Kong)",0.9313906,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Colombia",1.0857084,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Croatia ",0.8503642,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Czech Republic",0.786779,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Denmark",0.602441,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Dominican Republic",0.8857843,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Estonia",0.9220585,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Finland",0.589819,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"France",0.92298,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Germany",0.838938,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Greece",1.002533,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Guatemala",0.947887,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Hong Kong",1.0250085,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Hungary",0.916314,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
