country=Africa&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.11365
1993-01-01T00:00:00+00:00 (GMT),0.1155
1994-01-01T00:00:00+00:00 (GMT),0.11429
1995-01-01T00:00:00+00:00 (GMT),0.11518
1996-01-01T00:00:00+00:00 (GMT),0.1125
1997-01-01T00:00:00+00:00 (GMT),0.11389
1998-01-01T00:00:00+00:00 (GMT),0.11871
1999-01-01T00:00:00+00:00 (GMT),0.11348
2000-01-01T00:00:00+00:00 (GMT),0.11122
2001-01-01T00:00:00+00:00 (GMT),0.1041
2002-01-01T00:00:00+00:00 (GMT),0.10447
2003-01-01T00:00:00+00:00 (GMT),0.10693
2004-01-01T00:00:00+00:00 (GMT),0.10878
2005-01-01T00:00:00+00:00 (GMT),0.08643
2006-01-01T00:00:00+00:00 (GMT),0.08817
2007-01-01T00:00:00+00:00 (GMT),0.0813
2008-01-01T00:00:00+00:00 (GMT),0.08483
