country=Africa&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.67266
1993-01-01T00:00:00+00:00 (GMT),0.68358
1994-01-01T00:00:00+00:00 (GMT),0.67646
1995-01-01T00:00:00+00:00 (GMT),0.68172
1996-01-01T00:00:00+00:00 (GMT),0.66589
1997-01-01T00:00:00+00:00 (GMT),0.67409
1998-01-01T00:00:00+00:00 (GMT),0.70265
1999-01-01T00:00:00+00:00 (GMT),0.6717
2000-01-01T00:00:00+00:00 (GMT),0.65828
2001-01-01T00:00:00+00:00 (GMT),0.61614
2002-01-01T00:00:00+00:00 (GMT),0.61829
2003-01-01T00:00:00+00:00 (GMT),0.63287
2004-01-01T00:00:00+00:00 (GMT),0.64387
2005-01-01T00:00:00+00:00 (GMT),0.63106
2006-01-01T00:00:00+00:00 (GMT),0.62575
2007-01-01T00:00:00+00:00 (GMT),0.62317
2008-01-01T00:00:00+00:00 (GMT),0.61928
