country=Australia&type=electricity+consumption
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.89066
1991-01-01T00:00:00+00:00 (GMT),0.8951
1992-01-01T00:00:00+00:00 (GMT),0.90196
1993-01-01T00:00:00+00:00 (GMT),0.88517
1994-01-01T00:00:00+00:00 (GMT),0.87853
1995-01-01T00:00:00+00:00 (GMT),0.88486
1996-01-01T00:00:00+00:00 (GMT),0.89967
1997-01-01T00:00:00+00:00 (GMT),0.90236
1998-01-01T00:00:00+00:00 (GMT),0.94349
1999-01-01T00:00:00+00:00 (GMT),0.9447
2000-01-01T00:00:00+00:00 (GMT),0.93202
2001-01-01T00:00:00+00:00 (GMT),0.93922
2002-01-01T00:00:00+00:00 (GMT),1.01474
2003-01-01T00:00:00+00:00 (GMT),1.00281
2004-01-01T00:00:00+00:00 (GMT),0.98203
2005-01-01T00:00:00+00:00 (GMT),0.98424
2006-01-01T00:00:00+00:00 (GMT),1.0106
2007-01-01T00:00:00+00:00 (GMT),0.94464
2008-01-01T00:00:00+00:00 (GMT),0.95346
