country=Austria&type=electricity+consumption
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.2608
1991-01-01T00:00:00+00:00 (GMT),0.26857
1992-01-01T00:00:00+00:00 (GMT),0.22251
1993-01-01T00:00:00+00:00 (GMT),0.20638
1994-01-01T00:00:00+00:00 (GMT),0.2206
1995-01-01T00:00:00+00:00 (GMT),0.22812
1996-01-01T00:00:00+00:00 (GMT),0.24444
1997-01-01T00:00:00+00:00 (GMT),0.24256
1998-01-01T00:00:00+00:00 (GMT),0.22138
1999-01-01T00:00:00+00:00 (GMT),0.20571
2000-01-01T00:00:00+00:00 (GMT),0.19185
2001-01-01T00:00:00+00:00 (GMT),0.21416
2002-01-01T00:00:00+00:00 (GMT),0.2097
2003-01-01T00:00:00+00:00 (GMT),0.24786
2004-01-01T00:00:00+00:00 (GMT),0.23792
2005-01-01T00:00:00+00:00 (GMT),0.23377
2006-01-01T00:00:00+00:00 (GMT),0.22851
2007-01-01T00:00:00+00:00 (GMT),0.20822
2008-01-01T00:00:00+00:00 (GMT),0.19451
