country=Austria&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.24455
1991-01-01T00:00:00+00:00 (GMT),0.25184
1992-01-01T00:00:00+00:00 (GMT),0.20865
1993-01-01T00:00:00+00:00 (GMT),0.19352
1994-01-01T00:00:00+00:00 (GMT),0.20685
1995-01-01T00:00:00+00:00 (GMT),0.21391
1996-01-01T00:00:00+00:00 (GMT),0.22921
1997-01-01T00:00:00+00:00 (GMT),0.22744
1998-01-01T00:00:00+00:00 (GMT),0.20758
1999-01-01T00:00:00+00:00 (GMT),0.19289
2000-01-01T00:00:00+00:00 (GMT),0.1799
2001-01-01T00:00:00+00:00 (GMT),0.20081
2002-01-01T00:00:00+00:00 (GMT),0.19664
2003-01-01T00:00:00+00:00 (GMT),0.23241
2004-01-01T00:00:00+00:00 (GMT),0.2231
2005-01-01T00:00:00+00:00 (GMT),0.21937
2006-01-01T00:00:00+00:00 (GMT),0.21482
2007-01-01T00:00:00+00:00 (GMT),0.19561
2008-01-01T00:00:00+00:00 (GMT),0.18276
