country=Belgium&type=electricity+consumption
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.36232
1991-01-01T00:00:00+00:00 (GMT),0.35879
1992-01-01T00:00:00+00:00 (GMT),0.3472
1993-01-01T00:00:00+00:00 (GMT),0.3616
1994-01-01T00:00:00+00:00 (GMT),0.38276
1995-01-01T00:00:00+00:00 (GMT),0.37518
1996-01-01T00:00:00+00:00 (GMT),0.35573
1997-01-01T00:00:00+00:00 (GMT),0.32619
1998-01-01T00:00:00+00:00 (GMT),0.33134
1999-01-01T00:00:00+00:00 (GMT),0.29253
2000-01-01T00:00:00+00:00 (GMT),0.29912
2001-01-01T00:00:00+00:00 (GMT),0.28561
2002-01-01T00:00:00+00:00 (GMT),0.2801
2003-01-01T00:00:00+00:00 (GMT),0.28844
2004-01-01T00:00:00+00:00 (GMT),0.29511
2005-01-01T00:00:00+00:00 (GMT),0.28548
2006-01-01T00:00:00+00:00 (GMT),0.27277
2007-01-01T00:00:00+00:00 (GMT),0.26517
2008-01-01T00:00:00+00:00 (GMT),0.26162
