country=Brazil&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.01148
1993-01-01T00:00:00+00:00 (GMT),0.01043
1994-01-01T00:00:00+00:00 (GMT),0.00963
1995-01-01T00:00:00+00:00 (GMT),0.01041
1996-01-01T00:00:00+00:00 (GMT),0.01075
1997-01-01T00:00:00+00:00 (GMT),0.01171
1998-01-01T00:00:00+00:00 (GMT),0.01171
1999-01-01T00:00:00+00:00 (GMT),0.01548
2000-01-01T00:00:00+00:00 (GMT),0.0165
2001-01-01T00:00:00+00:00 (GMT),0.01945
2002-01-01T00:00:00+00:00 (GMT),0.01605
2003-01-01T00:00:00+00:00 (GMT),0.01485
2004-01-01T00:00:00+00:00 (GMT),0.01601
2005-01-01T00:00:00+00:00 (GMT),0.01552
2006-01-01T00:00:00+00:00 (GMT),0.01522
2007-01-01T00:00:00+00:00 (GMT),0.01323
2008-01-01T00:00:00+00:00 (GMT),0.01671
