country=Brazil&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.06099
1993-01-01T00:00:00+00:00 (GMT),0.05541
1994-01-01T00:00:00+00:00 (GMT),0.05117
1995-01-01T00:00:00+00:00 (GMT),0.0553
1996-01-01T00:00:00+00:00 (GMT),0.05711
1997-01-01T00:00:00+00:00 (GMT),0.06222
1998-01-01T00:00:00+00:00 (GMT),0.06222
1999-01-01T00:00:00+00:00 (GMT),0.08221
2000-01-01T00:00:00+00:00 (GMT),0.08761
2001-01-01T00:00:00+00:00 (GMT),0.10335
2002-01-01T00:00:00+00:00 (GMT),0.08525
2003-01-01T00:00:00+00:00 (GMT),0.07886
2004-01-01T00:00:00+00:00 (GMT),0.08503
2005-01-01T00:00:00+00:00 (GMT),0.08395
2006-01-01T00:00:00+00:00 (GMT),0.081
2007-01-01T00:00:00+00:00 (GMT),0.07277
2008-01-01T00:00:00+00:00 (GMT),0.08885
