country=Bulgaria&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.047
1993-01-01T00:00:00+00:00 (GMT),0.04705
1994-01-01T00:00:00+00:00 (GMT),0.04726
1995-01-01T00:00:00+00:00 (GMT),0.04671
1996-01-01T00:00:00+00:00 (GMT),0.04731
1997-01-01T00:00:00+00:00 (GMT),0.0478
1998-01-01T00:00:00+00:00 (GMT),0.04791
1999-01-01T00:00:00+00:00 (GMT),0.04865
2000-01-01T00:00:00+00:00 (GMT),0.04759
2001-01-01T00:00:00+00:00 (GMT),0.04417
2002-01-01T00:00:00+00:00 (GMT),0.04295
2003-01-01T00:00:00+00:00 (GMT),0.04734
2004-01-01T00:00:00+00:00 (GMT),0.04388
2005-01-01T00:00:00+00:00 (GMT),0.03237
2006-01-01T00:00:00+00:00 (GMT),0.04019
2007-01-01T00:00:00+00:00 (GMT),0.03729
2008-01-01T00:00:00+00:00 (GMT),0.02505
