country=Bulgaria&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.4756
1993-01-01T00:00:00+00:00 (GMT),0.48208
1994-01-01T00:00:00+00:00 (GMT),0.45619
1995-01-01T00:00:00+00:00 (GMT),0.42931
1996-01-01T00:00:00+00:00 (GMT),0.41814
1997-01-01T00:00:00+00:00 (GMT),0.47479
1998-01-01T00:00:00+00:00 (GMT),0.4805
1999-01-01T00:00:00+00:00 (GMT),0.44551
2000-01-01T00:00:00+00:00 (GMT),0.43068
2001-01-01T00:00:00+00:00 (GMT),0.46457
2002-01-01T00:00:00+00:00 (GMT),0.43285
2003-01-01T00:00:00+00:00 (GMT),0.47025
2004-01-01T00:00:00+00:00 (GMT),0.47047
2005-01-01T00:00:00+00:00 (GMT),0.44657
2006-01-01T00:00:00+00:00 (GMT),0.44171
2007-01-01T00:00:00+00:00 (GMT),0.5156
2008-01-01T00:00:00+00:00 (GMT),0.48886
