country=Canada&type=electricity+consumption
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.21825
1991-01-01T00:00:00+00:00 (GMT),0.20988
1992-01-01T00:00:00+00:00 (GMT),0.21958
1993-01-01T00:00:00+00:00 (GMT),0.19629
1994-01-01T00:00:00+00:00 (GMT),0.19261
1995-01-01T00:00:00+00:00 (GMT),0.19777
1996-01-01T00:00:00+00:00 (GMT),0.19124
1997-01-01T00:00:00+00:00 (GMT),0.21201
1998-01-01T00:00:00+00:00 (GMT),0.23727
1999-01-01T00:00:00+00:00 (GMT),0.22758
2000-01-01T00:00:00+00:00 (GMT),0.23809
2001-01-01T00:00:00+00:00 (GMT),0.24791
2002-01-01T00:00:00+00:00 (GMT),0.23179
2003-01-01T00:00:00+00:00 (GMT),0.24513
2004-01-01T00:00:00+00:00 (GMT),0.22942
2005-01-01T00:00:00+00:00 (GMT),0.21779
2006-01-01T00:00:00+00:00 (GMT),0.22145
2007-01-01T00:00:00+00:00 (GMT),0.219
2008-01-01T00:00:00+00:00 (GMT),0.19784
