country=Canada&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.0148
1991-01-01T00:00:00+00:00 (GMT),0.01423
1992-01-01T00:00:00+00:00 (GMT),0.01489
1993-01-01T00:00:00+00:00 (GMT),0.01331
1994-01-01T00:00:00+00:00 (GMT),0.01306
1995-01-01T00:00:00+00:00 (GMT),0.01341
1996-01-01T00:00:00+00:00 (GMT),0.01297
1997-01-01T00:00:00+00:00 (GMT),0.01437
1998-01-01T00:00:00+00:00 (GMT),0.01608
1999-01-01T00:00:00+00:00 (GMT),0.01543
2000-01-01T00:00:00+00:00 (GMT),0.01614
2001-01-01T00:00:00+00:00 (GMT),0.01681
2002-01-01T00:00:00+00:00 (GMT),0.01571
2003-01-01T00:00:00+00:00 (GMT),0.01662
2004-01-01T00:00:00+00:00 (GMT),0.01555
2005-01-01T00:00:00+00:00 (GMT),0.01761
2006-01-01T00:00:00+00:00 (GMT),0.02016
2007-01-01T00:00:00+00:00 (GMT),0.02169
2008-01-01T00:00:00+00:00 (GMT),0.01726
