country=Peoples+Republic+of+China&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.05331
1993-01-01T00:00:00+00:00 (GMT),0.05328
1994-01-01T00:00:00+00:00 (GMT),0.05154
1995-01-01T00:00:00+00:00 (GMT),0.05388
1996-01-01T00:00:00+00:00 (GMT),0.05507
1997-01-01T00:00:00+00:00 (GMT),0.05397
1998-01-01T00:00:00+00:00 (GMT),0.05524
1999-01-01T00:00:00+00:00 (GMT),0.05353
2000-01-01T00:00:00+00:00 (GMT),0.05132
2001-01-01T00:00:00+00:00 (GMT),0.04964
2002-01-01T00:00:00+00:00 (GMT),0.05022
2003-01-01T00:00:00+00:00 (GMT),0.05206
2004-01-01T00:00:00+00:00 (GMT),0.05405
2005-01-01T00:00:00+00:00 (GMT),0.05485
2006-01-01T00:00:00+00:00 (GMT),0.0515
2007-01-01T00:00:00+00:00 (GMT),0.04714
2008-01-01T00:00:00+00:00 (GMT),0.04298
