country=Peoples+Republic+of+China&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.79425
1993-01-01T00:00:00+00:00 (GMT),0.79387
1994-01-01T00:00:00+00:00 (GMT),0.76781
1995-01-01T00:00:00+00:00 (GMT),0.80281
1996-01-01T00:00:00+00:00 (GMT),0.82056
1997-01-01T00:00:00+00:00 (GMT),0.80408
1998-01-01T00:00:00+00:00 (GMT),0.82293
1999-01-01T00:00:00+00:00 (GMT),0.79758
2000-01-01T00:00:00+00:00 (GMT),0.76464
2001-01-01T00:00:00+00:00 (GMT),0.73963
2002-01-01T00:00:00+00:00 (GMT),0.74822
2003-01-01T00:00:00+00:00 (GMT),0.77572
2004-01-01T00:00:00+00:00 (GMT),0.80531
2005-01-01T00:00:00+00:00 (GMT),0.78745
2006-01-01T00:00:00+00:00 (GMT),0.78768
2007-01-01T00:00:00+00:00 (GMT),0.75849
2008-01-01T00:00:00+00:00 (GMT),0.74484
