country=Chinese+Taipei&type=electricity+consumption
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.52563
1993-01-01T00:00:00+00:00 (GMT),0.54972
1994-01-01T00:00:00+00:00 (GMT),0.54806
1995-01-01T00:00:00+00:00 (GMT),0.55843
1996-01-01T00:00:00+00:00 (GMT),0.56486
1997-01-01T00:00:00+00:00 (GMT),0.5971
1998-01-01T00:00:00+00:00 (GMT),0.60447
1999-01-01T00:00:00+00:00 (GMT),0.62364
2000-01-01T00:00:00+00:00 (GMT),0.6557
2001-01-01T00:00:00+00:00 (GMT),0.67095
2002-01-01T00:00:00+00:00 (GMT),0.66088
2003-01-01T00:00:00+00:00 (GMT),0.68097
2004-01-01T00:00:00+00:00 (GMT),0.67656
2005-01-01T00:00:00+00:00 (GMT),0.68089
2006-01-01T00:00:00+00:00 (GMT),0.68442
2007-01-01T00:00:00+00:00 (GMT),0.68485
2008-01-01T00:00:00+00:00 (GMT),0.67681
