country=Chinese+Taipei&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.0235
1993-01-01T00:00:00+00:00 (GMT),0.02457
1994-01-01T00:00:00+00:00 (GMT),0.0245
1995-01-01T00:00:00+00:00 (GMT),0.02497
1996-01-01T00:00:00+00:00 (GMT),0.02526
1997-01-01T00:00:00+00:00 (GMT),0.02669
1998-01-01T00:00:00+00:00 (GMT),0.02703
1999-01-01T00:00:00+00:00 (GMT),0.02788
2000-01-01T00:00:00+00:00 (GMT),0.02932
2001-01-01T00:00:00+00:00 (GMT),0.03
2002-01-01T00:00:00+00:00 (GMT),0.02955
2003-01-01T00:00:00+00:00 (GMT),0.03044
2004-01-01T00:00:00+00:00 (GMT),0.03025
2005-01-01T00:00:00+00:00 (GMT),0.0296
2006-01-01T00:00:00+00:00 (GMT),0.02525
2007-01-01T00:00:00+00:00 (GMT),0.02955
2008-01-01T00:00:00+00:00 (GMT),0.02657
