country=Chinese+Taipei&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.50213
1993-01-01T00:00:00+00:00 (GMT),0.52515
1994-01-01T00:00:00+00:00 (GMT),0.52356
1995-01-01T00:00:00+00:00 (GMT),0.53346
1996-01-01T00:00:00+00:00 (GMT),0.5396
1997-01-01T00:00:00+00:00 (GMT),0.57041
1998-01-01T00:00:00+00:00 (GMT),0.57744
1999-01-01T00:00:00+00:00 (GMT),0.59576
2000-01-01T00:00:00+00:00 (GMT),0.62638
2001-01-01T00:00:00+00:00 (GMT),0.64095
2002-01-01T00:00:00+00:00 (GMT),0.63133
2003-01-01T00:00:00+00:00 (GMT),0.65053
2004-01-01T00:00:00+00:00 (GMT),0.64631
2005-01-01T00:00:00+00:00 (GMT),0.65129
2006-01-01T00:00:00+00:00 (GMT),0.65917
2007-01-01T00:00:00+00:00 (GMT),0.6553
2008-01-01T00:00:00+00:00 (GMT),0.65024
