country=Croatia&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.05204
1993-01-01T00:00:00+00:00 (GMT),0.05256
1994-01-01T00:00:00+00:00 (GMT),0.04
1995-01-01T00:00:00+00:00 (GMT),0.04359
1996-01-01T00:00:00+00:00 (GMT),0.04056
1997-01-01T00:00:00+00:00 (GMT),0.04774
1998-01-01T00:00:00+00:00 (GMT),0.05159
1999-01-01T00:00:00+00:00 (GMT),0.04893
2000-01-01T00:00:00+00:00 (GMT),0.04867
2001-01-01T00:00:00+00:00 (GMT),0.05021
2002-01-01T00:00:00+00:00 (GMT),0.05725
2003-01-01T00:00:00+00:00 (GMT),0.06094
2004-01-01T00:00:00+00:00 (GMT),0.04815
2005-01-01T00:00:00+00:00 (GMT),0.04687
2006-01-01T00:00:00+00:00 (GMT),0.04196
2007-01-01T00:00:00+00:00 (GMT),0.0538
2008-01-01T00:00:00+00:00 (GMT),0.03894
