country=Cyprus&type=electricity+consumption
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.87435
1993-01-01T00:00:00+00:00 (GMT),0.87515
1994-01-01T00:00:00+00:00 (GMT),0.87913
1995-01-01T00:00:00+00:00 (GMT),0.86897
1996-01-01T00:00:00+00:00 (GMT),0.88002
1997-01-01T00:00:00+00:00 (GMT),0.88911
1998-01-01T00:00:00+00:00 (GMT),0.89116
1999-01-01T00:00:00+00:00 (GMT),0.90502
2000-01-01T00:00:00+00:00 (GMT),0.88522
2001-01-01T00:00:00+00:00 (GMT),0.8216
2002-01-01T00:00:00+00:00 (GMT),0.799
2003-01-01T00:00:00+00:00 (GMT),0.88064
2004-01-01T00:00:00+00:00 (GMT),0.81631
2005-01-01T00:00:00+00:00 (GMT),0.82074
2006-01-01T00:00:00+00:00 (GMT),0.79831
2007-01-01T00:00:00+00:00 (GMT),0.79793
2008-01-01T00:00:00+00:00 (GMT),0.78371
