country=Cyprus&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.07364
1991-01-01T00:00:00+00:00 (GMT),0.07262
1992-01-01T00:00:00+00:00 (GMT),0.0709
1993-01-01T00:00:00+00:00 (GMT),0.07247
1994-01-01T00:00:00+00:00 (GMT),0.07344
1995-01-01T00:00:00+00:00 (GMT),0.07416
1996-01-01T00:00:00+00:00 (GMT),0.07206
1997-01-01T00:00:00+00:00 (GMT),0.07217
1998-01-01T00:00:00+00:00 (GMT),0.07267
1999-01-01T00:00:00+00:00 (GMT),0.07151
2000-01-01T00:00:00+00:00 (GMT),0.07354
2001-01-01T00:00:00+00:00 (GMT),0.07196
2002-01-01T00:00:00+00:00 (GMT),0.06918
2003-01-01T00:00:00+00:00 (GMT),0.06465
2004-01-01T00:00:00+00:00 (GMT),0.06477
2005-01-01T00:00:00+00:00 (GMT),0.06641
2006-01-01T00:00:00+00:00 (GMT),0.06215
2007-01-01T00:00:00+00:00 (GMT),0.0664
2008-01-01T00:00:00+00:00 (GMT),0.06339
