country=Czech+Republic&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.06568
1991-01-01T00:00:00+00:00 (GMT),0.06977
1992-01-01T00:00:00+00:00 (GMT),0.06502
1993-01-01T00:00:00+00:00 (GMT),0.06335
1994-01-01T00:00:00+00:00 (GMT),0.06516
1995-01-01T00:00:00+00:00 (GMT),0.05992
1996-01-01T00:00:00+00:00 (GMT),0.06498
1997-01-01T00:00:00+00:00 (GMT),0.05891
1998-01-01T00:00:00+00:00 (GMT),0.05458
1999-01-01T00:00:00+00:00 (GMT),0.05106
2000-01-01T00:00:00+00:00 (GMT),0.04788
2001-01-01T00:00:00+00:00 (GMT),0.0474
2002-01-01T00:00:00+00:00 (GMT),0.04689
2003-01-01T00:00:00+00:00 (GMT),0.05031
2004-01-01T00:00:00+00:00 (GMT),0.04368
2005-01-01T00:00:00+00:00 (GMT),0.03822
2006-01-01T00:00:00+00:00 (GMT),0.04592
2007-01-01T00:00:00+00:00 (GMT),0.04266
2008-01-01T00:00:00+00:00 (GMT),0.04456
