country=Czech+Republic&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.59599
1991-01-01T00:00:00+00:00 (GMT),0.58776
1992-01-01T00:00:00+00:00 (GMT),0.5738
1993-01-01T00:00:00+00:00 (GMT),0.58652
1994-01-01T00:00:00+00:00 (GMT),0.59436
1995-01-01T00:00:00+00:00 (GMT),0.60021
1996-01-01T00:00:00+00:00 (GMT),0.58317
1997-01-01T00:00:00+00:00 (GMT),0.58408
1998-01-01T00:00:00+00:00 (GMT),0.58818
1999-01-01T00:00:00+00:00 (GMT),0.57878
2000-01-01T00:00:00+00:00 (GMT),0.59521
2001-01-01T00:00:00+00:00 (GMT),0.58245
2002-01-01T00:00:00+00:00 (GMT),0.55983
2003-01-01T00:00:00+00:00 (GMT),0.52324
2004-01-01T00:00:00+00:00 (GMT),0.52421
2005-01-01T00:00:00+00:00 (GMT),0.52449
2006-01-01T00:00:00+00:00 (GMT),0.52562
2007-01-01T00:00:00+00:00 (GMT),0.55679
2008-01-01T00:00:00+00:00 (GMT),0.54389
