country=Denmark&type=electricity+consumption
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.54282
1991-01-01T00:00:00+00:00 (GMT),0.57665
1992-01-01T00:00:00+00:00 (GMT),0.53741
1993-01-01T00:00:00+00:00 (GMT),0.5236
1994-01-01T00:00:00+00:00 (GMT),0.53854
1995-01-01T00:00:00+00:00 (GMT),0.4952
1996-01-01T00:00:00+00:00 (GMT),0.53702
1997-01-01T00:00:00+00:00 (GMT),0.48692
1998-01-01T00:00:00+00:00 (GMT),0.4511
1999-01-01T00:00:00+00:00 (GMT),0.42208
2000-01-01T00:00:00+00:00 (GMT),0.39573
2001-01-01T00:00:00+00:00 (GMT),0.39178
2002-01-01T00:00:00+00:00 (GMT),0.38755
2003-01-01T00:00:00+00:00 (GMT),0.41581
2004-01-01T00:00:00+00:00 (GMT),0.36101
2005-01-01T00:00:00+00:00 (GMT),0.33088
2006-01-01T00:00:00+00:00 (GMT),0.39845
2007-01-01T00:00:00+00:00 (GMT),0.36914
2008-01-01T00:00:00+00:00 (GMT),0.35232
