country=Denmark&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.1264
1993-01-01T00:00:00+00:00 (GMT),0.12167
1994-01-01T00:00:00+00:00 (GMT),0.12182
1995-01-01T00:00:00+00:00 (GMT),0.13862
1996-01-01T00:00:00+00:00 (GMT),0.13776
1997-01-01T00:00:00+00:00 (GMT),0.13543
1998-01-01T00:00:00+00:00 (GMT),0.14569
1999-01-01T00:00:00+00:00 (GMT),0.14294
2000-01-01T00:00:00+00:00 (GMT),0.14111
2001-01-01T00:00:00+00:00 (GMT),0.13846
2002-01-01T00:00:00+00:00 (GMT),0.13501
2003-01-01T00:00:00+00:00 (GMT),0.14621
2004-01-01T00:00:00+00:00 (GMT),0.1431
2005-01-01T00:00:00+00:00 (GMT),0.11911
2006-01-01T00:00:00+00:00 (GMT),0.1113
2007-01-01T00:00:00+00:00 (GMT),0.14156
2008-01-01T00:00:00+00:00 (GMT),0.1214
