country=Denmark&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.47714
1991-01-01T00:00:00+00:00 (GMT),0.50688
1992-01-01T00:00:00+00:00 (GMT),0.47239
1993-01-01T00:00:00+00:00 (GMT),0.46025
1994-01-01T00:00:00+00:00 (GMT),0.47338
1995-01-01T00:00:00+00:00 (GMT),0.43528
1996-01-01T00:00:00+00:00 (GMT),0.47204
1997-01-01T00:00:00+00:00 (GMT),0.42801
1998-01-01T00:00:00+00:00 (GMT),0.39652
1999-01-01T00:00:00+00:00 (GMT),0.37102
2000-01-01T00:00:00+00:00 (GMT),0.34785
2001-01-01T00:00:00+00:00 (GMT),0.34438
2002-01-01T00:00:00+00:00 (GMT),0.34066
2003-01-01T00:00:00+00:00 (GMT),0.3655
2004-01-01T00:00:00+00:00 (GMT),0.31733
2005-01-01T00:00:00+00:00 (GMT),0.29266
2006-01-01T00:00:00+00:00 (GMT),0.35253
2007-01-01T00:00:00+00:00 (GMT),0.32648
2008-01-01T00:00:00+00:00 (GMT),0.30776
