country=Egypt&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.52968
1993-01-01T00:00:00+00:00 (GMT),0.5032
1994-01-01T00:00:00+00:00 (GMT),0.46648
1995-01-01T00:00:00+00:00 (GMT),0.44331
1996-01-01T00:00:00+00:00 (GMT),0.43277
1997-01-01T00:00:00+00:00 (GMT),0.44226
1998-01-01T00:00:00+00:00 (GMT),0.46748
1999-01-01T00:00:00+00:00 (GMT),0.45457
2000-01-01T00:00:00+00:00 (GMT),0.41183
2001-01-01T00:00:00+00:00 (GMT),0.38101
2002-01-01T00:00:00+00:00 (GMT),0.43669
2003-01-01T00:00:00+00:00 (GMT),0.43248
2004-01-01T00:00:00+00:00 (GMT),0.47316
2005-01-01T00:00:00+00:00 (GMT),0.47403
2006-01-01T00:00:00+00:00 (GMT),0.47343
2007-01-01T00:00:00+00:00 (GMT),0.45041
2008-01-01T00:00:00+00:00 (GMT),0.45976
