country=Estonia&type=electricity+consumption
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.74593
1993-01-01T00:00:00+00:00 (GMT),0.71806
1994-01-01T00:00:00+00:00 (GMT),0.71894
1995-01-01T00:00:00+00:00 (GMT),0.81807
1996-01-01T00:00:00+00:00 (GMT),0.813
1997-01-01T00:00:00+00:00 (GMT),0.79925
1998-01-01T00:00:00+00:00 (GMT),0.85979
1999-01-01T00:00:00+00:00 (GMT),0.84361
2000-01-01T00:00:00+00:00 (GMT),0.83278
2001-01-01T00:00:00+00:00 (GMT),0.81711
2002-01-01T00:00:00+00:00 (GMT),0.79675
2003-01-01T00:00:00+00:00 (GMT),0.86289
2004-01-01T00:00:00+00:00 (GMT),0.84454
2005-01-01T00:00:00+00:00 (GMT),0.82862
2006-01-01T00:00:00+00:00 (GMT),0.76311
2007-01-01T00:00:00+00:00 (GMT),0.88937
2008-01-01T00:00:00+00:00 (GMT),0.87326
