country=European+Union+27&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.03565
1993-01-01T00:00:00+00:00 (GMT),0.03407
1994-01-01T00:00:00+00:00 (GMT),0.03404
1995-01-01T00:00:00+00:00 (GMT),0.03355
1996-01-01T00:00:00+00:00 (GMT),0.03299
1997-01-01T00:00:00+00:00 (GMT),0.03215
1998-01-01T00:00:00+00:00 (GMT),0.03179
1999-01-01T00:00:00+00:00 (GMT),0.03104
2000-01-01T00:00:00+00:00 (GMT),0.03096
2001-01-01T00:00:00+00:00 (GMT),0.03062
2002-01-01T00:00:00+00:00 (GMT),0.03092
2003-01-01T00:00:00+00:00 (GMT),0.03038
2004-01-01T00:00:00+00:00 (GMT),0.02946
2005-01-01T00:00:00+00:00 (GMT),0.02877
2006-01-01T00:00:00+00:00 (GMT),0.02639
2007-01-01T00:00:00+00:00 (GMT),0.027
2008-01-01T00:00:00+00:00 (GMT),0.02596
