country=European+Union+27&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.43869
1993-01-01T00:00:00+00:00 (GMT),0.41927
1994-01-01T00:00:00+00:00 (GMT),0.41886
1995-01-01T00:00:00+00:00 (GMT),0.41286
1996-01-01T00:00:00+00:00 (GMT),0.40594
1997-01-01T00:00:00+00:00 (GMT),0.39551
1998-01-01T00:00:00+00:00 (GMT),0.39121
1999-01-01T00:00:00+00:00 (GMT),0.3819
2000-01-01T00:00:00+00:00 (GMT),0.3809
2001-01-01T00:00:00+00:00 (GMT),0.37674
2002-01-01T00:00:00+00:00 (GMT),0.38032
2003-01-01T00:00:00+00:00 (GMT),0.37383
2004-01-01T00:00:00+00:00 (GMT),0.36244
2005-01-01T00:00:00+00:00 (GMT),0.35518
2006-01-01T00:00:00+00:00 (GMT),0.35803
2007-01-01T00:00:00+00:00 (GMT),0.36846
2008-01-01T00:00:00+00:00 (GMT),0.35085
