country=European+Union+27&type=electricity+consumption
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.47899
1993-01-01T00:00:00+00:00 (GMT),0.4559
1994-01-01T00:00:00+00:00 (GMT),0.45458
1995-01-01T00:00:00+00:00 (GMT),0.45297
1996-01-01T00:00:00+00:00 (GMT),0.44236
1997-01-01T00:00:00+00:00 (GMT),0.43092
1998-01-01T00:00:00+00:00 (GMT),0.42501
1999-01-01T00:00:00+00:00 (GMT),0.4148
2000-01-01T00:00:00+00:00 (GMT),0.41169
2001-01-01T00:00:00+00:00 (GMT),0.40861
2002-01-01T00:00:00+00:00 (GMT),0.41484
2003-01-01T00:00:00+00:00 (GMT),0.40717
2004-01-01T00:00:00+00:00 (GMT),0.3916
2005-01-01T00:00:00+00:00 (GMT),0.36847
2006-01-01T00:00:00+00:00 (GMT),0.38265
