country=Finland&type=electricity+consumption
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.23763
1991-01-01T00:00:00+00:00 (GMT),0.24291
1992-01-01T00:00:00+00:00 (GMT),0.21459
1993-01-01T00:00:00+00:00 (GMT),0.24012
1994-01-01T00:00:00+00:00 (GMT),0.27732
1995-01-01T00:00:00+00:00 (GMT),0.25888
1996-01-01T00:00:00+00:00 (GMT),0.29367
1997-01-01T00:00:00+00:00 (GMT),0.27237
1998-01-01T00:00:00+00:00 (GMT),0.22176
1999-01-01T00:00:00+00:00 (GMT),0.22186
2000-01-01T00:00:00+00:00 (GMT),0.22123
2001-01-01T00:00:00+00:00 (GMT),0.2522
2002-01-01T00:00:00+00:00 (GMT),0.26407
2003-01-01T00:00:00+00:00 (GMT),0.30515
2004-01-01T00:00:00+00:00 (GMT),0.26478
2005-01-01T00:00:00+00:00 (GMT),0.20225
2006-01-01T00:00:00+00:00 (GMT),0.25165
2007-01-01T00:00:00+00:00 (GMT),0.23865
2008-01-01T00:00:00+00:00 (GMT),0.1961
