country=Finland&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.00737
1991-01-01T00:00:00+00:00 (GMT),0.00829
1992-01-01T00:00:00+00:00 (GMT),0.00661
1993-01-01T00:00:00+00:00 (GMT),0.00458
1994-01-01T00:00:00+00:00 (GMT),0.00462
1995-01-01T00:00:00+00:00 (GMT),0.00511
1996-01-01T00:00:00+00:00 (GMT),0.00534
1997-01-01T00:00:00+00:00 (GMT),0.00492
1998-01-01T00:00:00+00:00 (GMT),0.00674
1999-01-01T00:00:00+00:00 (GMT),0.00583
2000-01-01T00:00:00+00:00 (GMT),0.00566
2001-01-01T00:00:00+00:00 (GMT),0.00484
2002-01-01T00:00:00+00:00 (GMT),0.00522
2003-01-01T00:00:00+00:00 (GMT),0.00546
2004-01-01T00:00:00+00:00 (GMT),0.00534
2005-01-01T00:00:00+00:00 (GMT),0.0062
2006-01-01T00:00:00+00:00 (GMT),0.00579
2007-01-01T00:00:00+00:00 (GMT),0.00599
2008-01-01T00:00:00+00:00 (GMT),0.00566
