country=Finland&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.2271
1991-01-01T00:00:00+00:00 (GMT),0.23214
1992-01-01T00:00:00+00:00 (GMT),0.20508
1993-01-01T00:00:00+00:00 (GMT),0.22948
1994-01-01T00:00:00+00:00 (GMT),0.26503
1995-01-01T00:00:00+00:00 (GMT),0.2474
1996-01-01T00:00:00+00:00 (GMT),0.28065
1997-01-01T00:00:00+00:00 (GMT),0.26029
1998-01-01T00:00:00+00:00 (GMT),0.21192
1999-01-01T00:00:00+00:00 (GMT),0.21203
2000-01-01T00:00:00+00:00 (GMT),0.21143
2001-01-01T00:00:00+00:00 (GMT),0.24102
2002-01-01T00:00:00+00:00 (GMT),0.25236
2003-01-01T00:00:00+00:00 (GMT),0.29162
2004-01-01T00:00:00+00:00 (GMT),0.25304
2005-01-01T00:00:00+00:00 (GMT),0.19289
2006-01-01T00:00:00+00:00 (GMT),0.24063
2007-01-01T00:00:00+00:00 (GMT),0.2287
2008-01-01T00:00:00+00:00 (GMT),0.18712
