country=France&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.10916
1991-01-01T00:00:00+00:00 (GMT),0.1229
1992-01-01T00:00:00+00:00 (GMT),0.0981
1993-01-01T00:00:00+00:00 (GMT),0.06797
1994-01-01T00:00:00+00:00 (GMT),0.06859
1995-01-01T00:00:00+00:00 (GMT),0.07564
1996-01-01T00:00:00+00:00 (GMT),0.07918
1997-01-01T00:00:00+00:00 (GMT),0.07286
1998-01-01T00:00:00+00:00 (GMT),0.09982
1999-01-01T00:00:00+00:00 (GMT),0.08649
2000-01-01T00:00:00+00:00 (GMT),0.08395
2001-01-01T00:00:00+00:00 (GMT),0.07183
2002-01-01T00:00:00+00:00 (GMT),0.07739
2003-01-01T00:00:00+00:00 (GMT),0.0809
2004-01-01T00:00:00+00:00 (GMT),0.07912
2005-01-01T00:00:00+00:00 (GMT),0.09321
2006-01-01T00:00:00+00:00 (GMT),0.08659
2007-01-01T00:00:00+00:00 (GMT),0.08998
2008-01-01T00:00:00+00:00 (GMT),0.08272
