country=Germany&type=electricity+consumption
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.587
1991-01-01T00:00:00+00:00 (GMT),0.5959
1992-01-01T00:00:00+00:00 (GMT),0.57981
1993-01-01T00:00:00+00:00 (GMT),0.57249
1994-01-01T00:00:00+00:00 (GMT),0.57203
1995-01-01T00:00:00+00:00 (GMT),0.55468
1996-01-01T00:00:00+00:00 (GMT),0.55696
1997-01-01T00:00:00+00:00 (GMT),0.54499
1998-01-01T00:00:00+00:00 (GMT),0.5373
1999-01-01T00:00:00+00:00 (GMT),0.5192
2000-01-01T00:00:00+00:00 (GMT),0.52451
2001-01-01T00:00:00+00:00 (GMT),0.53693
2002-01-01T00:00:00+00:00 (GMT),0.53924
2003-01-01T00:00:00+00:00 (GMT),0.4614
2004-01-01T00:00:00+00:00 (GMT),0.46324
2005-01-01T00:00:00+00:00 (GMT),0.43271
2006-01-01T00:00:00+00:00 (GMT),0.42907
2007-01-01T00:00:00+00:00 (GMT),0.49835
2008-01-01T00:00:00+00:00 (GMT),0.4688
