country=Gibraltar&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.0
1993-01-01T00:00:00+00:00 (GMT),0.0
1994-01-01T00:00:00+00:00 (GMT),0.0
1995-01-01T00:00:00+00:00 (GMT),0.0
1996-01-01T00:00:00+00:00 (GMT),0.0
1997-01-01T00:00:00+00:00 (GMT),0.0
1998-01-01T00:00:00+00:00 (GMT),0.0
1999-01-01T00:00:00+00:00 (GMT),0.0
2000-01-01T00:00:00+00:00 (GMT),0.0
2001-01-01T00:00:00+00:00 (GMT),0.0
2002-01-01T00:00:00+00:00 (GMT),0.0
2003-01-01T00:00:00+00:00 (GMT),0.0
2004-01-01T00:00:00+00:00 (GMT),0.0
2005-01-01T00:00:00+00:00 (GMT),0.0
2006-01-01T00:00:00+00:00 (GMT),0.0
2007-01-01T00:00:00+00:00 (GMT),0.0
2008-01-01T00:00:00+00:00 (GMT),0.0
