country=Greece&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.03493
1991-01-01T00:00:00+00:00 (GMT),0.03471
1992-01-01T00:00:00+00:00 (GMT),0.03598
1993-01-01T00:00:00+00:00 (GMT),0.03601
1994-01-01T00:00:00+00:00 (GMT),0.03606
1995-01-01T00:00:00+00:00 (GMT),0.036
1996-01-01T00:00:00+00:00 (GMT),0.0353
1997-01-01T00:00:00+00:00 (GMT),0.03563
1998-01-01T00:00:00+00:00 (GMT),0.0356
1999-01-01T00:00:00+00:00 (GMT),0.03428
2000-01-01T00:00:00+00:00 (GMT),0.03336
2001-01-01T00:00:00+00:00 (GMT),0.03277
2002-01-01T00:00:00+00:00 (GMT),0.03257
2003-01-01T00:00:00+00:00 (GMT),0.03534
2004-01-01T00:00:00+00:00 (GMT),0.03266
2005-01-01T00:00:00+00:00 (GMT),0.02718
2006-01-01T00:00:00+00:00 (GMT),0.0276
2007-01-01T00:00:00+00:00 (GMT),0.02783
2008-01-01T00:00:00+00:00 (GMT),0.02609
