country=Greece&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.99023
1991-01-01T00:00:00+00:00 (GMT),0.94008
1992-01-01T00:00:00+00:00 (GMT),0.95751
1993-01-01T00:00:00+00:00 (GMT),0.9325
1994-01-01T00:00:00+00:00 (GMT),0.88298
1995-01-01T00:00:00+00:00 (GMT),0.8711
1996-01-01T00:00:00+00:00 (GMT),0.82697
1997-01-01T00:00:00+00:00 (GMT),0.86382
1998-01-01T00:00:00+00:00 (GMT),0.85418
1999-01-01T00:00:00+00:00 (GMT),0.81711
2000-01-01T00:00:00+00:00 (GMT),0.81302
2001-01-01T00:00:00+00:00 (GMT),0.83156
2002-01-01T00:00:00+00:00 (GMT),0.8144
2003-01-01T00:00:00+00:00 (GMT),0.774
2004-01-01T00:00:00+00:00 (GMT),0.77643
2005-01-01T00:00:00+00:00 (GMT),0.77568
2006-01-01T00:00:00+00:00 (GMT),0.72728
2007-01-01T00:00:00+00:00 (GMT),0.74938
2008-01-01T00:00:00+00:00 (GMT),0.73122
