country=Hong+Kong+(China)&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.09743
1993-01-01T00:00:00+00:00 (GMT),0.10234
1994-01-01T00:00:00+00:00 (GMT),0.10261
1995-01-01T00:00:00+00:00 (GMT),0.10154
1996-01-01T00:00:00+00:00 (GMT),0.09774
1997-01-01T00:00:00+00:00 (GMT),0.0859
1998-01-01T00:00:00+00:00 (GMT),0.08781
1999-01-01T00:00:00+00:00 (GMT),0.08499
2000-01-01T00:00:00+00:00 (GMT),0.08451
2001-01-01T00:00:00+00:00 (GMT),0.08548
2002-01-01T00:00:00+00:00 (GMT),0.08609
2003-01-01T00:00:00+00:00 (GMT),0.09439
2004-01-01T00:00:00+00:00 (GMT),0.08893
2005-01-01T00:00:00+00:00 (GMT),0.09257
2006-01-01T00:00:00+00:00 (GMT),0.08687
2007-01-01T00:00:00+00:00 (GMT),0.09518
2008-01-01T00:00:00+00:00 (GMT),0.08893
