country=Hong+Kong+(China)&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.82063
1993-01-01T00:00:00+00:00 (GMT),0.86204
1994-01-01T00:00:00+00:00 (GMT),0.86434
1995-01-01T00:00:00+00:00 (GMT),0.85526
1996-01-01T00:00:00+00:00 (GMT),0.82323
1997-01-01T00:00:00+00:00 (GMT),0.72359
1998-01-01T00:00:00+00:00 (GMT),0.73968
1999-01-01T00:00:00+00:00 (GMT),0.71594
2000-01-01T00:00:00+00:00 (GMT),0.71182
2001-01-01T00:00:00+00:00 (GMT),0.71996
2002-01-01T00:00:00+00:00 (GMT),0.72516
2003-01-01T00:00:00+00:00 (GMT),0.79505
2004-01-01T00:00:00+00:00 (GMT),0.74912
2005-01-01T00:00:00+00:00 (GMT),0.75544
2006-01-01T00:00:00+00:00 (GMT),0.75391
2007-01-01T00:00:00+00:00 (GMT),0.77473
2008-01-01T00:00:00+00:00 (GMT),0.75742
