country=Hungary&type=electricity+consumption
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.45461
1991-01-01T00:00:00+00:00 (GMT),0.45171
1992-01-01T00:00:00+00:00 (GMT),0.46826
1993-01-01T00:00:00+00:00 (GMT),0.46863
1994-01-01T00:00:00+00:00 (GMT),0.46931
1995-01-01T00:00:00+00:00 (GMT),0.46846
1996-01-01T00:00:00+00:00 (GMT),0.45935
1997-01-01T00:00:00+00:00 (GMT),0.46365
1998-01-01T00:00:00+00:00 (GMT),0.46325
1999-01-01T00:00:00+00:00 (GMT),0.44613
2000-01-01T00:00:00+00:00 (GMT),0.43409
2001-01-01T00:00:00+00:00 (GMT),0.42645
2002-01-01T00:00:00+00:00 (GMT),0.42394
2003-01-01T00:00:00+00:00 (GMT),0.45999
2004-01-01T00:00:00+00:00 (GMT),0.42509
2005-01-01T00:00:00+00:00 (GMT),0.36783
2006-01-01T00:00:00+00:00 (GMT),0.37152
2007-01-01T00:00:00+00:00 (GMT),0.3736
2008-01-01T00:00:00+00:00 (GMT),0.35693
