country=Iceland&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.00052
1991-01-01T00:00:00+00:00 (GMT),0.00049
1992-01-01T00:00:00+00:00 (GMT),0.00046
1993-01-01T00:00:00+00:00 (GMT),0.0008
1994-01-01T00:00:00+00:00 (GMT),0.0008
1995-01-01T00:00:00+00:00 (GMT),0.00162
1996-01-01T00:00:00+00:00 (GMT),0.00119
1997-01-01T00:00:00+00:00 (GMT),0.00109
1998-01-01T00:00:00+00:00 (GMT),0.00292
1999-01-01T00:00:00+00:00 (GMT),0.00375
2000-01-01T00:00:00+00:00 (GMT),0.00062
2001-01-01T00:00:00+00:00 (GMT),0.0006
2002-01-01T00:00:00+00:00 (GMT),0.00061
2003-01-01T00:00:00+00:00 (GMT),0.00062
2004-01-01T00:00:00+00:00 (GMT),0.00061
2005-01-01T00:00:00+00:00 (GMT),0.00061
2006-01-01T00:00:00+00:00 (GMT),0.00054
2007-01-01T00:00:00+00:00 (GMT),0.00137
2008-01-01T00:00:00+00:00 (GMT),0.00075
