country=India&type=electricity+consumption
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),1.24153
1993-01-01T00:00:00+00:00 (GMT),1.27246
1994-01-01T00:00:00+00:00 (GMT),1.22295
1995-01-01T00:00:00+00:00 (GMT),1.29261
1996-01-01T00:00:00+00:00 (GMT),1.35505
1997-01-01T00:00:00+00:00 (GMT),1.31589
1998-01-01T00:00:00+00:00 (GMT),1.28605
1999-01-01T00:00:00+00:00 (GMT),1.28286
2000-01-01T00:00:00+00:00 (GMT),1.30978
2001-01-01T00:00:00+00:00 (GMT),1.30354
2002-01-01T00:00:00+00:00 (GMT),1.28263
2003-01-01T00:00:00+00:00 (GMT),1.26061
2004-01-01T00:00:00+00:00 (GMT),1.3153
2005-01-01T00:00:00+00:00 (GMT),1.27961
2006-01-01T00:00:00+00:00 (GMT),1.25783
2007-01-01T00:00:00+00:00 (GMT),1.23568
2008-01-01T00:00:00+00:00 (GMT),1.28003
