country=India&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.35118
1993-01-01T00:00:00+00:00 (GMT),0.35993
1994-01-01T00:00:00+00:00 (GMT),0.34593
1995-01-01T00:00:00+00:00 (GMT),0.36563
1996-01-01T00:00:00+00:00 (GMT),0.38329
1997-01-01T00:00:00+00:00 (GMT),0.37221
1998-01-01T00:00:00+00:00 (GMT),0.36377
1999-01-01T00:00:00+00:00 (GMT),0.36287
2000-01-01T00:00:00+00:00 (GMT),0.37049
2001-01-01T00:00:00+00:00 (GMT),0.36872
2002-01-01T00:00:00+00:00 (GMT),0.36281
2003-01-01T00:00:00+00:00 (GMT),0.35658
2004-01-01T00:00:00+00:00 (GMT),0.37205
2005-01-01T00:00:00+00:00 (GMT),0.34268
2006-01-01T00:00:00+00:00 (GMT),0.32659
2007-01-01T00:00:00+00:00 (GMT),0.30062
2008-01-01T00:00:00+00:00 (GMT),0.3118
