country=India&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.89035
1993-01-01T00:00:00+00:00 (GMT),0.91253
1994-01-01T00:00:00+00:00 (GMT),0.87702
1995-01-01T00:00:00+00:00 (GMT),0.92698
1996-01-01T00:00:00+00:00 (GMT),0.97176
1997-01-01T00:00:00+00:00 (GMT),0.94368
1998-01-01T00:00:00+00:00 (GMT),0.92228
1999-01-01T00:00:00+00:00 (GMT),0.91999
2000-01-01T00:00:00+00:00 (GMT),0.93929
2001-01-01T00:00:00+00:00 (GMT),0.93482
2002-01-01T00:00:00+00:00 (GMT),0.91982
2003-01-01T00:00:00+00:00 (GMT),0.90403
2004-01-01T00:00:00+00:00 (GMT),0.94325
2005-01-01T00:00:00+00:00 (GMT),0.93693
2006-01-01T00:00:00+00:00 (GMT),0.93124
2007-01-01T00:00:00+00:00 (GMT),0.93506
2008-01-01T00:00:00+00:00 (GMT),0.96823
