country=Indonesia&type=electricity+consumption
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.68615
1993-01-01T00:00:00+00:00 (GMT),0.82464
1994-01-01T00:00:00+00:00 (GMT),0.6942
1995-01-01T00:00:00+00:00 (GMT),0.63037
1996-01-01T00:00:00+00:00 (GMT),0.68586
1997-01-01T00:00:00+00:00 (GMT),0.72422
1998-01-01T00:00:00+00:00 (GMT),0.69342
1999-01-01T00:00:00+00:00 (GMT),0.71449
2000-01-01T00:00:00+00:00 (GMT),0.6807
2001-01-01T00:00:00+00:00 (GMT),0.77511
2002-01-01T00:00:00+00:00 (GMT),0.74807
2003-01-01T00:00:00+00:00 (GMT),0.81196
2004-01-01T00:00:00+00:00 (GMT),0.78829
2005-01-01T00:00:00+00:00 (GMT),0.79152
2006-01-01T00:00:00+00:00 (GMT),0.79458
2007-01-01T00:00:00+00:00 (GMT),0.84284
2008-01-01T00:00:00+00:00 (GMT),0.81077
