country=Indonesia&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.08545
1993-01-01T00:00:00+00:00 (GMT),0.10269
1994-01-01T00:00:00+00:00 (GMT),0.08645
1995-01-01T00:00:00+00:00 (GMT),0.0785
1996-01-01T00:00:00+00:00 (GMT),0.08541
1997-01-01T00:00:00+00:00 (GMT),0.09019
1998-01-01T00:00:00+00:00 (GMT),0.08636
1999-01-01T00:00:00+00:00 (GMT),0.08898
2000-01-01T00:00:00+00:00 (GMT),0.08477
2001-01-01T00:00:00+00:00 (GMT),0.09653
2002-01-01T00:00:00+00:00 (GMT),0.09317
2003-01-01T00:00:00+00:00 (GMT),0.10112
2004-01-01T00:00:00+00:00 (GMT),0.09817
2005-01-01T00:00:00+00:00 (GMT),0.09742
2006-01-01T00:00:00+00:00 (GMT),0.09317
2007-01-01T00:00:00+00:00 (GMT),0.09317
2008-01-01T00:00:00+00:00 (GMT),0.08463
