country=Indonesia&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.6007
1993-01-01T00:00:00+00:00 (GMT),0.72195
1994-01-01T00:00:00+00:00 (GMT),0.60775
1995-01-01T00:00:00+00:00 (GMT),0.55187
1996-01-01T00:00:00+00:00 (GMT),0.60045
1997-01-01T00:00:00+00:00 (GMT),0.63403
1998-01-01T00:00:00+00:00 (GMT),0.60706
1999-01-01T00:00:00+00:00 (GMT),0.62551
2000-01-01T00:00:00+00:00 (GMT),0.59593
2001-01-01T00:00:00+00:00 (GMT),0.67858
2002-01-01T00:00:00+00:00 (GMT),0.6549
2003-01-01T00:00:00+00:00 (GMT),0.71084
2004-01-01T00:00:00+00:00 (GMT),0.69012
2005-01-01T00:00:00+00:00 (GMT),0.6941
2006-01-01T00:00:00+00:00 (GMT),0.70141
2007-01-01T00:00:00+00:00 (GMT),0.74967
2008-01-01T00:00:00+00:00 (GMT),0.72614
