country=Ireland&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.03598
1991-01-01T00:00:00+00:00 (GMT),0.03433
1992-01-01T00:00:00+00:00 (GMT),0.03351
1993-01-01T00:00:00+00:00 (GMT),0.03282
1994-01-01T00:00:00+00:00 (GMT),0.03226
1995-01-01T00:00:00+00:00 (GMT),0.03415
1996-01-01T00:00:00+00:00 (GMT),0.03282
1997-01-01T00:00:00+00:00 (GMT),0.03217
1998-01-01T00:00:00+00:00 (GMT),0.03211
1999-01-01T00:00:00+00:00 (GMT),0.03096
2000-01-01T00:00:00+00:00 (GMT),0.03116
2001-01-01T00:00:00+00:00 (GMT),0.03015
2002-01-01T00:00:00+00:00 (GMT),0.03151
2003-01-01T00:00:00+00:00 (GMT),0.03199
2004-01-01T00:00:00+00:00 (GMT),0.02607
2005-01-01T00:00:00+00:00 (GMT),0.02376
2006-01-01T00:00:00+00:00 (GMT),0.02428
2007-01-01T00:00:00+00:00 (GMT),0.02341
2008-01-01T00:00:00+00:00 (GMT),0.02337
