country=Ireland&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.73998
1991-01-01T00:00:00+00:00 (GMT),0.74282
1992-01-01T00:00:00+00:00 (GMT),0.74807
1993-01-01T00:00:00+00:00 (GMT),0.73297
1994-01-01T00:00:00+00:00 (GMT),0.72967
1995-01-01T00:00:00+00:00 (GMT),0.72662
1996-01-01T00:00:00+00:00 (GMT),0.70762
1997-01-01T00:00:00+00:00 (GMT),0.70577
1998-01-01T00:00:00+00:00 (GMT),0.70252
1999-01-01T00:00:00+00:00 (GMT),0.69656
2000-01-01T00:00:00+00:00 (GMT),0.6421
2001-01-01T00:00:00+00:00 (GMT),0.66821
2002-01-01T00:00:00+00:00 (GMT),0.63488
2003-01-01T00:00:00+00:00 (GMT),0.60317
2004-01-01T00:00:00+00:00 (GMT),0.57422
2005-01-01T00:00:00+00:00 (GMT),0.58179
2006-01-01T00:00:00+00:00 (GMT),0.54543
2007-01-01T00:00:00+00:00 (GMT),0.50376
2008-01-01T00:00:00+00:00 (GMT),0.48621
