country=Israel&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.02672
1993-01-01T00:00:00+00:00 (GMT),0.02724
1994-01-01T00:00:00+00:00 (GMT),0.0271
1995-01-01T00:00:00+00:00 (GMT),0.02721
1996-01-01T00:00:00+00:00 (GMT),0.02737
1997-01-01T00:00:00+00:00 (GMT),0.02716
1998-01-01T00:00:00+00:00 (GMT),0.02528
1999-01-01T00:00:00+00:00 (GMT),0.02535
2000-01-01T00:00:00+00:00 (GMT),0.02531
2001-01-01T00:00:00+00:00 (GMT),0.02541
2002-01-01T00:00:00+00:00 (GMT),0.02743
2003-01-01T00:00:00+00:00 (GMT),0.02719
2004-01-01T00:00:00+00:00 (GMT),0.02659
2005-01-01T00:00:00+00:00 (GMT),0.02545
2006-01-01T00:00:00+00:00 (GMT),0.02273
2007-01-01T00:00:00+00:00 (GMT),0.02276
2008-01-01T00:00:00+00:00 (GMT),0.01734
