country=Israel&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.79071
1993-01-01T00:00:00+00:00 (GMT),0.80623
1994-01-01T00:00:00+00:00 (GMT),0.80202
1995-01-01T00:00:00+00:00 (GMT),0.80501
1996-01-01T00:00:00+00:00 (GMT),0.80996
1997-01-01T00:00:00+00:00 (GMT),0.80363
1998-01-01T00:00:00+00:00 (GMT),0.74794
1999-01-01T00:00:00+00:00 (GMT),0.75011
2000-01-01T00:00:00+00:00 (GMT),0.74893
2001-01-01T00:00:00+00:00 (GMT),0.75195
2002-01-01T00:00:00+00:00 (GMT),0.8118
2003-01-01T00:00:00+00:00 (GMT),0.80461
2004-01-01T00:00:00+00:00 (GMT),0.78676
2005-01-01T00:00:00+00:00 (GMT),0.77846
2006-01-01T00:00:00+00:00 (GMT),0.756
2007-01-01T00:00:00+00:00 (GMT),0.73917
2008-01-01T00:00:00+00:00 (GMT),0.6933
