country=Italy&type=electricity+consumption
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.61053
1991-01-01T00:00:00+00:00 (GMT),0.58252
1992-01-01T00:00:00+00:00 (GMT),0.56861
1993-01-01T00:00:00+00:00 (GMT),0.55694
1994-01-01T00:00:00+00:00 (GMT),0.54735
1995-01-01T00:00:00+00:00 (GMT),0.57947
1996-01-01T00:00:00+00:00 (GMT),0.5568
1997-01-01T00:00:00+00:00 (GMT),0.54577
1998-01-01T00:00:00+00:00 (GMT),0.54491
1999-01-01T00:00:00+00:00 (GMT),0.52535
2000-01-01T00:00:00+00:00 (GMT),0.52884
2001-01-01T00:00:00+00:00 (GMT),0.51166
2002-01-01T00:00:00+00:00 (GMT),0.53455
2003-01-01T00:00:00+00:00 (GMT),0.54285
2004-01-01T00:00:00+00:00 (GMT),0.44241
2005-01-01T00:00:00+00:00 (GMT),0.4363
2006-01-01T00:00:00+00:00 (GMT),0.44781
2007-01-01T00:00:00+00:00 (GMT),0.41118
2008-01-01T00:00:00+00:00 (GMT),0.42183
