country=Italy&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.0539
1993-01-01T00:00:00+00:00 (GMT),0.05246
1994-01-01T00:00:00+00:00 (GMT),0.04828
1995-01-01T00:00:00+00:00 (GMT),0.04597
1996-01-01T00:00:00+00:00 (GMT),0.05037
1997-01-01T00:00:00+00:00 (GMT),0.04189
1998-01-01T00:00:00+00:00 (GMT),0.03807
1999-01-01T00:00:00+00:00 (GMT),0.04196
2000-01-01T00:00:00+00:00 (GMT),0.03843
2001-01-01T00:00:00+00:00 (GMT),0.03646
2002-01-01T00:00:00+00:00 (GMT),0.03618
2003-01-01T00:00:00+00:00 (GMT),0.03514
2004-01-01T00:00:00+00:00 (GMT),0.03201
2005-01-01T00:00:00+00:00 (GMT),0.0284
2006-01-01T00:00:00+00:00 (GMT),0.02735
2007-01-01T00:00:00+00:00 (GMT),0.02514
2008-01-01T00:00:00+00:00 (GMT),0.02301
