country=Italy&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.57455
1991-01-01T00:00:00+00:00 (GMT),0.54819
1992-01-01T00:00:00+00:00 (GMT),0.5351
1993-01-01T00:00:00+00:00 (GMT),0.52412
1994-01-01T00:00:00+00:00 (GMT),0.51509
1995-01-01T00:00:00+00:00 (GMT),0.54532
1996-01-01T00:00:00+00:00 (GMT),0.52398
1997-01-01T00:00:00+00:00 (GMT),0.5136
1998-01-01T00:00:00+00:00 (GMT),0.5128
1999-01-01T00:00:00+00:00 (GMT),0.49439
2000-01-01T00:00:00+00:00 (GMT),0.49768
2001-01-01T00:00:00+00:00 (GMT),0.48151
2002-01-01T00:00:00+00:00 (GMT),0.50304
2003-01-01T00:00:00+00:00 (GMT),0.51086
2004-01-01T00:00:00+00:00 (GMT),0.41634
2005-01-01T00:00:00+00:00 (GMT),0.41254
2006-01-01T00:00:00+00:00 (GMT),0.42353
2007-01-01T00:00:00+00:00 (GMT),0.38777
2008-01-01T00:00:00+00:00 (GMT),0.39846
