country=Japan&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.02189
1991-01-01T00:00:00+00:00 (GMT),0.02141
1992-01-01T00:00:00+00:00 (GMT),0.02171
1993-01-01T00:00:00+00:00 (GMT),0.02076
1994-01-01T00:00:00+00:00 (GMT),0.02165
1995-01-01T00:00:00+00:00 (GMT),0.0207
1996-01-01T00:00:00+00:00 (GMT),0.02056
1997-01-01T00:00:00+00:00 (GMT),0.01982
1998-01-01T00:00:00+00:00 (GMT),0.01921
1999-01-01T00:00:00+00:00 (GMT),0.02
2000-01-01T00:00:00+00:00 (GMT),0.02019
2001-01-01T00:00:00+00:00 (GMT),0.02022
2002-01-01T00:00:00+00:00 (GMT),0.02127
2003-01-01T00:00:00+00:00 (GMT),0.02239
2004-01-01T00:00:00+00:00 (GMT),0.02152
2005-01-01T00:00:00+00:00 (GMT),0.02183
2006-01-01T00:00:00+00:00 (GMT),0.02119
2007-01-01T00:00:00+00:00 (GMT),0.02263
2008-01-01T00:00:00+00:00 (GMT),0.02306
