country=Japan&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.4345
1991-01-01T00:00:00+00:00 (GMT),0.42494
1992-01-01T00:00:00+00:00 (GMT),0.43089
1993-01-01T00:00:00+00:00 (GMT),0.41198
1994-01-01T00:00:00+00:00 (GMT),0.42981
1995-01-01T00:00:00+00:00 (GMT),0.41097
1996-01-01T00:00:00+00:00 (GMT),0.40801
1997-01-01T00:00:00+00:00 (GMT),0.39353
1998-01-01T00:00:00+00:00 (GMT),0.38125
1999-01-01T00:00:00+00:00 (GMT),0.39678
2000-01-01T00:00:00+00:00 (GMT),0.40059
2001-01-01T00:00:00+00:00 (GMT),0.40149
2002-01-01T00:00:00+00:00 (GMT),0.42208
2003-01-01T00:00:00+00:00 (GMT),0.44443
2004-01-01T00:00:00+00:00 (GMT),0.42716
2005-01-01T00:00:00+00:00 (GMT),0.42911
2006-01-01T00:00:00+00:00 (GMT),0.41846
2007-01-01T00:00:00+00:00 (GMT),0.4522
2008-01-01T00:00:00+00:00 (GMT),0.43645
