country=Republic+of+Korea&type=electricity+consumption
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.53866
1991-01-01T00:00:00+00:00 (GMT),0.57982
1992-01-01T00:00:00+00:00 (GMT),0.60914
1993-01-01T00:00:00+00:00 (GMT),0.58834
1994-01-01T00:00:00+00:00 (GMT),0.57091
1995-01-01T00:00:00+00:00 (GMT),0.55897
1996-01-01T00:00:00+00:00 (GMT),0.55291
1997-01-01T00:00:00+00:00 (GMT),0.57612
1998-01-01T00:00:00+00:00 (GMT),0.51463
1999-01-01T00:00:00+00:00 (GMT),0.49891
2000-01-01T00:00:00+00:00 (GMT),0.46335
2001-01-01T00:00:00+00:00 (GMT),0.4955
2002-01-01T00:00:00+00:00 (GMT),0.46686
2003-01-01T00:00:00+00:00 (GMT),0.46523
2004-01-01T00:00:00+00:00 (GMT),0.49137
2005-01-01T00:00:00+00:00 (GMT),0.47688
2006-01-01T00:00:00+00:00 (GMT),0.48151
2007-01-01T00:00:00+00:00 (GMT),0.47249
2008-01-01T00:00:00+00:00 (GMT),0.47617
