country=Republic+of+Korea&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.01841
1991-01-01T00:00:00+00:00 (GMT),0.01981
1992-01-01T00:00:00+00:00 (GMT),0.02082
1993-01-01T00:00:00+00:00 (GMT),0.02011
1994-01-01T00:00:00+00:00 (GMT),0.01952
1995-01-01T00:00:00+00:00 (GMT),0.01911
1996-01-01T00:00:00+00:00 (GMT),0.0189
1997-01-01T00:00:00+00:00 (GMT),0.01969
1998-01-01T00:00:00+00:00 (GMT),0.01759
1999-01-01T00:00:00+00:00 (GMT),0.01705
2000-01-01T00:00:00+00:00 (GMT),0.01583
2001-01-01T00:00:00+00:00 (GMT),0.01694
2002-01-01T00:00:00+00:00 (GMT),0.01596
2003-01-01T00:00:00+00:00 (GMT),0.0159
2004-01-01T00:00:00+00:00 (GMT),0.01679
2005-01-01T00:00:00+00:00 (GMT),0.01657
2006-01-01T00:00:00+00:00 (GMT),0.01717
2007-01-01T00:00:00+00:00 (GMT),0.01738
2008-01-01T00:00:00+00:00 (GMT),0.01693
